name;version;isLts;endSupport;metrics
Symfony;4.0;no;2019/01;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
Symfony;4.1;no;2019/07;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
Symfony;4.2;no;2020/01;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
Symfony;4.3;no;2020/07;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
Symfony;4.4;yes;2023/11;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
Symfony;5.0;no;2020/07;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
Symfony;5.1;no;2021/01;CHECKSTYLE,PMD,UNIT_TEST,FUNC_TEST
React;16.11;;;ESLINT
React;16.12;;;ESLINT
React;16.13;;;ESLINT